Trial 0: RMSE=0.8446113954697837, Params={'max_depth': 5, 'learning_rate': 0.045121551610593835, 'n_estimators': 949, 'min_child_weight': 3, 'subsample': 0.6061486746153933, 'colsample_bytree': 0.5830585034029443, 'reg_alpha': 0.22089331260987755, 'reg_lambda': 0.6290242393253236, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 11: RMSE=0.7023464195534733, Params={'max_depth': 16, 'learning_rate': 0.1475374274586126, 'n_estimators': 592, 'min_child_weight': 7, 'subsample': 0.8534942023922434, 'colsample_bytree': 0.9225374524481322, 'reg_alpha': 0.6325885268057121, 'reg_lambda': 0.9894347629184886, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 12: RMSE=0.7436499285013528, Params={'max_depth': 16, 'learning_rate': 0.2084481547940265, 'n_estimators': 450, 'min_child_weight': 7, 'subsample': 0.8585835379659936, 'colsample_bytree': 0.8477366973776603, 'reg_alpha': 0.061603395871704575, 'reg_lambda': 0.8482813298388021, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 13: RMSE=1.3906533992108898, Params={'max_depth': 16, 'learning_rate': 0.10448992710832726, 'n_estimators': 660, 'min_child_weight': 2, 'subsample': 0.5029178980806666, 'colsample_bytree': 0.8162170760623435, 'reg_alpha': 0.4476966229438511, 'reg_lambda': 0.5917619480228937, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 14: RMSE=1.2518992326732221, Params={'max_depth': 10, 'learning_rate': 0.22604226421210952, 'n_estimators': 362, 'min_child_weight': 7, 'subsample': 0.6487384913185194, 'colsample_bytree': 0.9966087989812885, 'reg_alpha': 0.9562834077064903, 'reg_lambda': 0.3541863814683523, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 15: RMSE=0.7018900076460557, Params={'max_depth': 14, 'learning_rate': 0.19208418670942107, 'n_estimators': 516, 'min_child_weight': 8, 'subsample': 0.8823842347617871, 'colsample_bytree': 0.9109220011658059, 'reg_alpha': 0.23771306018918897, 'reg_lambda': 0.8391153928775984, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 16: RMSE=0.7013251865012433, Params={'max_depth': 17, 'learning_rate': 0.10797575932779667, 'n_estimators': 326, 'min_child_weight': 5, 'subsample': 0.6783817217594968, 'colsample_bytree': 0.7778921299916738, 'reg_alpha': 0.8000786484959508, 'reg_lambda': 0.9895732599563286, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 17: RMSE=2.1238142783337786, Params={'max_depth': 18, 'learning_rate': 0.25207459374744845, 'n_estimators': 755, 'min_child_weight': 10, 'subsample': 0.5688154281066877, 'colsample_bytree': 0.9069814787832454, 'reg_alpha': 0.5775055196818868, 'reg_lambda': 0.6432005582287219, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 18: RMSE=0.7375311248738823, Params={'max_depth': 10, 'learning_rate': 0.18053958989967464, 'n_estimators': 225, 'min_child_weight': 6, 'subsample': 0.6954723294392825, 'colsample_bytree': 0.8791286990895497, 'reg_alpha': 0.3249605236328796, 'reg_lambda': 0.7482417567233749, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 19: RMSE=0.9037843965422051, Params={'max_depth': 3, 'learning_rate': 0.11047539856778613, 'n_estimators': 455, 'min_child_weight': 3, 'subsample': 0.9037481615665889, 'colsample_bytree': 0.9436121420379491, 'reg_alpha': 0.10238213118932507, 'reg_lambda': 0.5570711484672037, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 20: RMSE=2.181474966203831, Params={'max_depth': 14, 'learning_rate': 0.015081058201522668, 'n_estimators': 582, 'min_child_weight': 8, 'subsample': 0.8110258911539283, 'colsample_bytree': 0.7704651894228992, 'reg_alpha': 0.5062848760612814, 'reg_lambda': 0.9108688749658369, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 21: RMSE=0.7475351630663613, Params={'max_depth': 17, 'learning_rate': 0.11196696417966785, 'n_estimators': 339, 'min_child_weight': 5, 'subsample': 0.6909193993920002, 'colsample_bytree': 0.7676012237548776, 'reg_alpha': 0.8130455789457643, 'reg_lambda': 0.9170706828055151, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 22: RMSE=0.7819645850209078, Params={'max_depth': 15, 'learning_rate': 0.0890971659497993, 'n_estimators': 283, 'min_child_weight': 4, 'subsample': 0.6985270705986019, 'colsample_bytree': 0.8033182964324135, 'reg_alpha': 0.6773308526250754, 'reg_lambda': 0.9739358159129277, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 23: RMSE=0.6502587497496584, Params={'max_depth': 18, 'learning_rate': 0.13428501151631353, 'n_estimators': 150, 'min_child_weight': 5, 'subsample': 0.613216644589319, 'colsample_bytree': 0.7059346996195723, 'reg_alpha': 0.839354800192835, 'reg_lambda': 0.8255920040334375, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 24: RMSE=0.6871322903677193, Params={'max_depth': 20, 'learning_rate': 0.13575471895765842, 'n_estimators': 130, 'min_child_weight': 6, 'subsample': 0.5898118736802188, 'colsample_bytree': 0.6548968927830541, 'reg_alpha': 0.9183668807467696, 'reg_lambda': 0.7649074994725217, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 25: RMSE=0.7135671117088126, Params={'max_depth': 20, 'learning_rate': 0.17400907101302127, 'n_estimators': 130, 'min_child_weight': 8, 'subsample': 0.5857417210512688, 'colsample_bytree': 0.6751598261669114, 'reg_alpha': 0.885071995908753, 'reg_lambda': 0.683148251028812, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 26: RMSE=0.7239219481416422, Params={'max_depth': 18, 'learning_rate': 0.25262522951926375, 'n_estimators': 186, 'min_child_weight': 6, 'subsample': 0.522372677026468, 'colsample_bytree': 0.6571047424185783, 'reg_alpha': 0.8836213339538694, 'reg_lambda': 0.8088932249579339, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 27: RMSE=0.5874581637909456, Params={'max_depth': 19, 'learning_rate': 0.1365590010814841, 'n_estimators': 100, 'min_child_weight': 1, 'subsample': 0.6206405181889129, 'colsample_bytree': 0.6391835319806366, 'reg_alpha': 0.9917450791711423, 'reg_lambda': 0.5337003433443082, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 28: RMSE=0.7987634689022862, Params={'max_depth': 18, 'learning_rate': 0.25743853770564007, 'n_estimators': 196, 'min_child_weight': 1, 'subsample': 0.6286763654779352, 'colsample_bytree': 0.725355210443927, 'reg_alpha': 0.9905744420267587, 'reg_lambda': 0.25277225055838626, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 29: RMSE=0.7061241380913611, Params={'max_depth': 14, 'learning_rate': 0.03422649746321643, 'n_estimators': 398, 'min_child_weight': 2, 'subsample': 0.6145198851840012, 'colsample_bytree': 0.6148032090573147, 'reg_alpha': 0.8323608886421245, 'reg_lambda': 0.5389637602510369, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 30: RMSE=0.7428115067914041, Params={'max_depth': 19, 'learning_rate': 0.1669816890629904, 'n_estimators': 268, 'min_child_weight': 3, 'subsample': 0.5490330034746914, 'colsample_bytree': 0.741542609252284, 'reg_alpha': 0.6557731908997453, 'reg_lambda': 0.6473507740551623, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 31: RMSE=0.7001325575124757, Params={'max_depth': 20, 'learning_rate': 0.12983695355546604, 'n_estimators': 100, 'min_child_weight': 2, 'subsample': 0.5897567099140046, 'colsample_bytree': 0.6446278616201107, 'reg_alpha': 0.8872054736603876, 'reg_lambda': 0.7611069112762654, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 32: RMSE=12.96111587613714, Params={'max_depth': 19, 'learning_rate': 0.12884968573783404, 'n_estimators': 157, 'min_child_weight': 9, 'subsample': 0.6484979925853788, 'colsample_bytree': 0.5773735790912449, 'reg_alpha': 0.9218349803022903, 'reg_lambda': 0.8856786161802079, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 33: RMSE=0.771094420273423, Params={'max_depth': 17, 'learning_rate': 0.0873857302502024, 'n_estimators': 104, 'min_child_weight': 4, 'subsample': 0.5603114440346941, 'colsample_bytree': 0.6283295157912949, 'reg_alpha': 0.9897525232876533, 'reg_lambda': 0.7700998714799638, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 34: RMSE=0.6901975611715103, Params={'max_depth': 20, 'learning_rate': 0.19531086417705773, 'n_estimators': 223, 'min_child_weight': 1, 'subsample': 0.6071134777695626, 'colsample_bytree': 0.6759465214357515, 'reg_alpha': 0.7630610643532211, 'reg_lambda': 0.6939522727685953, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 35: RMSE=0.7504221114709864, Params={'max_depth': 18, 'learning_rate': 0.13916308120047868, 'n_estimators': 149, 'min_child_weight': 3, 'subsample': 0.7226096122720806, 'colsample_bytree': 0.5925504509860764, 'reg_alpha': 0.8508391798351965, 'reg_lambda': 0.4707127703236814, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 36: RMSE=0.7101491492273975, Params={'max_depth': 19, 'learning_rate': 0.1585818747745128, 'n_estimators': 275, 'min_child_weight': 6, 'subsample': 0.6722424928288145, 'colsample_bytree': 0.7035718962662811, 'reg_alpha': 0.6991503198197735, 'reg_lambda': 0.3743735147563988, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 37: RMSE=0.7937618991542681, Params={'max_depth': 15, 'learning_rate': 0.2728220588845566, 'n_estimators': 157, 'min_child_weight': 9, 'subsample': 0.7924819096319181, 'colsample_bytree': 0.5489177328225882, 'reg_alpha': 0.5832654621516711, 'reg_lambda': 0.6007956637655628, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 38: RMSE=0.7515432921181856, Params={'max_depth': 12, 'learning_rate': 0.12202897578672461, 'n_estimators': 209, 'min_child_weight': 10, 'subsample': 0.5390904482275355, 'colsample_bytree': 0.6343724583573261, 'reg_alpha': 0.9315963486705039, 'reg_lambda': 0.8666640342403179, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 39: RMSE=0.7700220712534339, Params={'max_depth': 20, 'learning_rate': 0.09142551704114936, 'n_estimators': 105, 'min_child_weight': 4, 'subsample': 0.5924711687510487, 'colsample_bytree': 0.53141464631158, 'reg_alpha': 0.7918838178728291, 'reg_lambda': 0.013635493103165364, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 40: RMSE=0.7520502766337473, Params={'max_depth': 17, 'learning_rate': 0.060817844118347286, 'n_estimators': 924, 'min_child_weight': 7, 'subsample': 0.7207602361880239, 'colsample_bytree': 0.675437703240247, 'reg_alpha': 0.4282698764127164, 'reg_lambda': 0.7273120771734088, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 41: RMSE=0.7556932955889276, Params={'max_depth': 15, 'learning_rate': 0.14931472942019147, 'n_estimators': 841, 'min_child_weight': 5, 'subsample': 0.9438317988979434, 'colsample_bytree': 0.9548766520856041, 'reg_alpha': 0.14436707526386405, 'reg_lambda': 0.8050046096959019, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 42: RMSE=0.9241490638285236, Params={'max_depth': 16, 'learning_rate': 0.13878232022011122, 'n_estimators': 176, 'min_child_weight': 5, 'subsample': 0.6216172806882644, 'colsample_bytree': 0.8663282818009612, 'reg_alpha': 0.17212322343174088, 'reg_lambda': 0.8176678943922028, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 43: RMSE=0.7044152495821557, Params={'max_depth': 13, 'learning_rate': 0.1254774789253243, 'n_estimators': 387, 'min_child_weight': 6, 'subsample': 0.7797429649737408, 'colsample_bytree': 0.7325350969526415, 'reg_alpha': 0.004389711851723488, 'reg_lambda': 0.09040924620860091, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 44: RMSE=0.7176331652109436, Params={'max_depth': 19, 'learning_rate': 0.16296594128017405, 'n_estimators': 295, 'min_child_weight': 3, 'subsample': 0.6536071084276176, 'colsample_bytree': 0.7045438877287229, 'reg_alpha': 0.31786324524765863, 'reg_lambda': 0.9472364563745381, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 45: RMSE=0.702567968020235, Params={'max_depth': 18, 'learning_rate': 0.1841345823488494, 'n_estimators': 245, 'min_child_weight': 4, 'subsample': 0.9837834261543846, 'colsample_bytree': 0.8869542366474872, 'reg_alpha': 0.9997786778128008, 'reg_lambda': 0.8707450328590934, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 46: RMSE=0.914853778387061, Params={'max_depth': 16, 'learning_rate': 0.07354321696088725, 'n_estimators': 696, 'min_child_weight': 7, 'subsample': 0.5198410652577791, 'colsample_bytree': 0.9696740825953695, 'reg_alpha': 0.7343172779508296, 'reg_lambda': 0.6819872651611987, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 47: RMSE=1.658690203185568, Params={'max_depth': 10, 'learning_rate': 0.20203662046578746, 'n_estimators': 516, 'min_child_weight': 9, 'subsample': 0.5730947108638333, 'colsample_bytree': 0.8309808109465656, 'reg_alpha': 0.4991523995872696, 'reg_lambda': 0.7741032671890026, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 48: RMSE=0.9980150011266704, Params={'max_depth': 17, 'learning_rate': 0.1422663299202871, 'n_estimators': 144, 'min_child_weight': 8, 'subsample': 0.6593884302464732, 'colsample_bytree': 0.9955550435908805, 'reg_alpha': 0.6163460937712721, 'reg_lambda': 0.2576529979419252, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 49: RMSE=0.6923796068399775, Params={'max_depth': 19, 'learning_rate': 0.2212285569233046, 'n_estimators': 449, 'min_child_weight': 2, 'subsample': 0.7202158501290573, 'colsample_bytree': 0.9329445582682198, 'reg_alpha': 0.29846063687812885, 'reg_lambda': 0.7246201920364368, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 50: RMSE=6.642550013169451, Params={'max_depth': 15, 'learning_rate': 0.1162454339904782, 'n_estimators': 215, 'min_child_weight': 6, 'subsample': 0.829460930138622, 'colsample_bytree': 0.7982113087756891, 'reg_alpha': 0.931696261645244, 'reg_lambda': 0.42121653280018023, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 51: RMSE=0.8051010268119284, Params={'max_depth': 20, 'learning_rate': 0.28252354909692284, 'n_estimators': 241, 'min_child_weight': 1, 'subsample': 0.6114685650116539, 'colsample_bytree': 0.6738890270580812, 'reg_alpha': 0.7692375364662378, 'reg_lambda': 0.6950183538573473, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 52: RMSE=0.7479832412006326, Params={'max_depth': 20, 'learning_rate': 0.23398912734701022, 'n_estimators': 187, 'min_child_weight': 1, 'subsample': 0.6339648605958661, 'colsample_bytree': 0.606299929843453, 'reg_alpha': 0.8426068080448619, 'reg_lambda': 0.62457284564492, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 53: RMSE=0.6132702484887044, Params={'max_depth': 18, 'learning_rate': 0.10123026979264621, 'n_estimators': 133, 'min_child_weight': 1, 'subsample': 0.602233648720341, 'colsample_bytree': 0.6548670477731596, 'reg_alpha': 0.7222350085081812, 'reg_lambda': 0.5362363336857577, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 54: RMSE=0.8752312458777325, Params={'max_depth': 18, 'learning_rate': 0.10032990189057596, 'n_estimators': 132, 'min_child_weight': 2, 'subsample': 0.9272782925230822, 'colsample_bytree': 0.655167525207707, 'reg_alpha': 0.7226510931041801, 'reg_lambda': 0.5388873257558454, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 55: RMSE=0.7202466706395726, Params={'max_depth': 17, 'learning_rate': 0.07716658464863749, 'n_estimators': 647, 'min_child_weight': 1, 'subsample': 0.590403324272187, 'colsample_bytree': 0.6908765469147323, 'reg_alpha': 0.8798863910243698, 'reg_lambda': 0.4941177825070067, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 56: RMSE=0.7959192770573046, Params={'max_depth': 13, 'learning_rate': 0.15204753023941975, 'n_estimators': 131, 'min_child_weight': 5, 'subsample': 0.5658024775356731, 'colsample_bytree': 0.7558717609717438, 'reg_alpha': 0.6089634466999163, 'reg_lambda': 0.4383892938461008, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 57: RMSE=0.8357106119756449, Params={'max_depth': 16, 'learning_rate': 0.13652877957271448, 'n_estimators': 316, 'min_child_weight': 7, 'subsample': 0.5485255346002277, 'colsample_bytree': 0.5850711724995472, 'reg_alpha': 0.5231728945952667, 'reg_lambda': 0.8407706241936772, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 58: RMSE=0.7025584330180562, Params={'max_depth': 19, 'learning_rate': 0.10101278526681412, 'n_estimators': 173, 'min_child_weight': 4, 'subsample': 0.5043798182028294, 'colsample_bytree': 0.7213999713207881, 'reg_alpha': 0.9601085629659123, 'reg_lambda': 0.9482294703745545, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 59: RMSE=0.7490754050096133, Params={'max_depth': 18, 'learning_rate': 0.1682066343955393, 'n_estimators': 796, 'min_child_weight': 2, 'subsample': 0.6676679506056995, 'colsample_bytree': 0.6208266020155885, 'reg_alpha': 0.6631476838121629, 'reg_lambda': 0.5874374658580137, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 60: RMSE=0.8849785667953545, Params={'max_depth': 8, 'learning_rate': 0.11589633466729567, 'n_estimators': 129, 'min_child_weight': 3, 'subsample': 0.6366337743309833, 'colsample_bytree': 0.8904780775301424, 'reg_alpha': 0.8047788230862913, 'reg_lambda': 0.782984192505768, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 61: RMSE=0.7111046311397542, Params={'max_depth': 20, 'learning_rate': 0.19376109779148754, 'n_estimators': 213, 'min_child_weight': 1, 'subsample': 0.6051927393531311, 'colsample_bytree': 0.6569123099732518, 'reg_alpha': 0.7771566031615385, 'reg_lambda': 0.8940992688786916, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 62: RMSE=0.7173295421492312, Params={'max_depth': 19, 'learning_rate': 0.2403030868476759, 'n_estimators': 251, 'min_child_weight': 1, 'subsample': 0.6041167380328872, 'colsample_bytree': 0.6934268635790019, 'reg_alpha': 0.7240257928905071, 'reg_lambda': 0.6457221546152059, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 63: RMSE=0.6990852920098433, Params={'max_depth': 18, 'learning_rate': 0.1761929859009914, 'n_estimators': 350, 'min_child_weight': 2, 'subsample': 0.5738470117298653, 'colsample_bytree': 0.6823205131510911, 'reg_alpha': 0.6953284326680269, 'reg_lambda': 0.8269096941570768, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
