Trial 0: RMSE=0.9515564468187786, Params={'max_depth': 13, 'learning_rate': 0.12005968370057436, 'n_estimators': 728, 'min_child_weight': 6, 'subsample': 0.7834893964797197, 'colsample_bytree': 0.6658994912730001, 'reg_alpha': 0.5902664612973197, 'reg_lambda': 0.10143563906162922, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 11: RMSE=0.8415525895451723, Params={'max_depth': 6, 'learning_rate': 0.20085451722615205, 'n_estimators': 655, 'min_child_weight': 3, 'subsample': 0.9235700563814965, 'colsample_bytree': 0.8320465331487917, 'reg_alpha': 0.3812826014853522, 'reg_lambda': 0.7707758536742241, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 12: RMSE=0.8503834443232406, Params={'max_depth': 3, 'learning_rate': 0.18214640964058884, 'n_estimators': 686, 'min_child_weight': 3, 'subsample': 0.9970758239400446, 'colsample_bytree': 0.9927660382464691, 'reg_alpha': 0.3008622234217385, 'reg_lambda': 0.6677890196350589, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 13: RMSE=0.8836150931179503, Params={'max_depth': 3, 'learning_rate': 0.20305730448067782, 'n_estimators': 654, 'min_child_weight': 4, 'subsample': 0.9031890107888444, 'colsample_bytree': 0.9610110633196609, 'reg_alpha': 0.3859399583337519, 'reg_lambda': 0.6935158231345452, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 14: RMSE=0.8979268514884616, Params={'max_depth': 6, 'learning_rate': 0.17836588492798655, 'n_estimators': 320, 'min_child_weight': 4, 'subsample': 0.8623476903850991, 'colsample_bytree': 0.9962351657444054, 'reg_alpha': 0.3449729180087204, 'reg_lambda': 0.8279928988662517, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 15: RMSE=0.8490073793391115, Params={'max_depth': 6, 'learning_rate': 0.14353373001324218, 'n_estimators': 609, 'min_child_weight': 3, 'subsample': 0.9935337811268968, 'colsample_bytree': 0.8756941564202276, 'reg_alpha': 0.4629946815790553, 'reg_lambda': 0.6443383382843029, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 16: RMSE=0.8424554286553714, Params={'max_depth': 6, 'learning_rate': 0.12401042094472879, 'n_estimators': 538, 'min_child_weight': 1, 'subsample': 0.9141431921627147, 'colsample_bytree': 0.8875912271608213, 'reg_alpha': 0.47173893611986306, 'reg_lambda': 0.9673480016311282, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 17: RMSE=0.9056689485802617, Params={'max_depth': 6, 'learning_rate': 0.09042702937961793, 'n_estimators': 259, 'min_child_weight': 1, 'subsample': 0.8322191880545775, 'colsample_bytree': 0.7666970245741419, 'reg_alpha': 0.4815325936027629, 'reg_lambda': 0.9958197929739828, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 18: RMSE=0.8759503744446125, Params={'max_depth': 7, 'learning_rate': 0.23468847375552693, 'n_estimators': 521, 'min_child_weight': 2, 'subsample': 0.9136183573972697, 'colsample_bytree': 0.8883574962431746, 'reg_alpha': 0.7956041073144812, 'reg_lambda': 0.8742981270098844, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 19: RMSE=0.8997964119535117, Params={'max_depth': 5, 'learning_rate': 0.15585079322190173, 'n_estimators': 781, 'min_child_weight': 1, 'subsample': 0.9134461707032475, 'colsample_bytree': 0.8170951640794075, 'reg_alpha': 0.23353981626693787, 'reg_lambda': 0.8880034604467797, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 20: RMSE=0.8820966693206015, Params={'max_depth': 10, 'learning_rate': 0.09281907305341763, 'n_estimators': 436, 'min_child_weight': 3, 'subsample': 0.6957874397352227, 'colsample_bytree': 0.9248896433064724, 'reg_alpha': 0.48760910012856135, 'reg_lambda': 0.7619102677881177, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 21: RMSE=0.8640446735043821, Params={'max_depth': 7, 'learning_rate': 0.13890536441481996, 'n_estimators': 585, 'min_child_weight': 3, 'subsample': 0.9596553759899213, 'colsample_bytree': 0.8853786908287032, 'reg_alpha': 0.4507309483717043, 'reg_lambda': 0.6364307049340882, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 22: RMSE=0.8293648416124042, Params={'max_depth': 5, 'learning_rate': 0.15670160702914648, 'n_estimators': 596, 'min_child_weight': 5, 'subsample': 0.9514926987233878, 'colsample_bytree': 0.8479821827966663, 'reg_alpha': 0.5139901938863226, 'reg_lambda': 0.5799594338199815, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 23: RMSE=0.9188203233461212, Params={'max_depth': 5, 'learning_rate': 0.16598529960655717, 'n_estimators': 579, 'min_child_weight': 5, 'subsample': 0.8654105322827831, 'colsample_bytree': 0.7931227222455345, 'reg_alpha': 0.5713069741022037, 'reg_lambda': 0.9177391233523275, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 24: RMSE=0.8800195899591643, Params={'max_depth': 11, 'learning_rate': 0.20195486398844828, 'n_estimators': 712, 'min_child_weight': 5, 'subsample': 0.9417984860637053, 'colsample_bytree': 0.850365378798312, 'reg_alpha': 0.23844649667133627, 'reg_lambda': 0.5708140271432665, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 25: RMSE=0.9034741706991769, Params={'max_depth': 4, 'learning_rate': 0.08710763212101309, 'n_estimators': 499, 'min_child_weight': 4, 'subsample': 0.8128581025591305, 'colsample_bytree': 0.7414425338172153, 'reg_alpha': 0.7555938122653534, 'reg_lambda': 0.7699490244503994, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 26: RMSE=0.8536481076380771, Params={'max_depth': 7, 'learning_rate': 0.11669179703791269, 'n_estimators': 624, 'min_child_weight': 2, 'subsample': 0.7516973640899174, 'colsample_bytree': 0.9246506472041816, 'reg_alpha': 0.5582851160148967, 'reg_lambda': 0.7255645858645617, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 27: RMSE=0.8821905315277311, Params={'max_depth': 8, 'learning_rate': 0.23393257420670038, 'n_estimators': 380, 'min_child_weight': 5, 'subsample': 0.8939823117853877, 'colsample_bytree': 0.8398864911580118, 'reg_alpha': 0.40803516645540233, 'reg_lambda': 0.8133750734667251, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 28: RMSE=0.8302019593507692, Params={'max_depth': 4, 'learning_rate': 0.17149958442412183, 'n_estimators': 897, 'min_child_weight': 7, 'subsample': 0.9644608980039258, 'colsample_bytree': 0.7806352025113811, 'reg_alpha': 0.2533352450072188, 'reg_lambda': 0.43736727441910084, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 29: RMSE=0.8278238393432111, Params={'max_depth': 3, 'learning_rate': 0.18906864321133046, 'n_estimators': 865, 'min_child_weight': 7, 'subsample': 0.956105966552597, 'colsample_bytree': 0.7651549025988775, 'reg_alpha': 0.23187132572339408, 'reg_lambda': 0.3806574499872094, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 30: RMSE=0.8729458864715334, Params={'max_depth': 3, 'learning_rate': 0.17611126239572394, 'n_estimators': 899, 'min_child_weight': 7, 'subsample': 0.9631566003892204, 'colsample_bytree': 0.63340900139782, 'reg_alpha': 0.11867806658125091, 'reg_lambda': 0.41249804873641566, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 31: RMSE=0.8798506641058781, Params={'max_depth': 4, 'learning_rate': 0.1944525686526475, 'n_estimators': 757, 'min_child_weight': 7, 'subsample': 0.944627315793036, 'colsample_bytree': 0.7729737931850048, 'reg_alpha': 0.24025876351856212, 'reg_lambda': 0.2864610008774624, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 32: RMSE=0.9075806361289288, Params={'max_depth': 5, 'learning_rate': 0.23422097014004725, 'n_estimators': 865, 'min_child_weight': 8, 'subsample': 0.8777467459625141, 'colsample_bytree': 0.7126753096639074, 'reg_alpha': 0.18332978270962347, 'reg_lambda': 0.4561673061412289, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 33: RMSE=0.8545980992872154, Params={'max_depth': 3, 'learning_rate': 0.21831656615304418, 'n_estimators': 978, 'min_child_weight': 8, 'subsample': 0.9685054853703435, 'colsample_bytree': 0.7633299908258078, 'reg_alpha': 0.007578653983100092, 'reg_lambda': 0.29705964328138995, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 34: RMSE=0.8807978759190117, Params={'max_depth': 4, 'learning_rate': 0.261376620748041, 'n_estimators': 810, 'min_child_weight': 9, 'subsample': 0.9332212993816551, 'colsample_bytree': 0.7335262764120648, 'reg_alpha': 0.37940283097947625, 'reg_lambda': 0.49809799913935837, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 35: RMSE=0.837026773686207, Params={'max_depth': 8, 'learning_rate': 0.15685958655243498, 'n_estimators': 928, 'min_child_weight': 7, 'subsample': 0.835105089484615, 'colsample_bytree': 0.8465800147876725, 'reg_alpha': 0.29764339516634025, 'reg_lambda': 0.5853736078590341, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 36: RMSE=0.8418063522034649, Params={'max_depth': 8, 'learning_rate': 0.15518398376469822, 'n_estimators': 995, 'min_child_weight': 6, 'subsample': 0.7643171737679908, 'colsample_bytree': 0.670126293493126, 'reg_alpha': 0.08606979720803795, 'reg_lambda': 0.5708354947794374, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 37: RMSE=0.9380640223343611, Params={'max_depth': 12, 'learning_rate': 0.14213658923630074, 'n_estimators': 925, 'min_child_weight': 7, 'subsample': 0.836924857686155, 'colsample_bytree': 0.7905752564500097, 'reg_alpha': 0.28707412782342095, 'reg_lambda': 0.20833179285498948, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 38: RMSE=0.8723494992800054, Params={'max_depth': 5, 'learning_rate': 0.10637580319751164, 'n_estimators': 873, 'min_child_weight': 8, 'subsample': 0.7938487079992522, 'colsample_bytree': 0.8631655984584085, 'reg_alpha': 0.17391343644366425, 'reg_lambda': 0.4499835326039335, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 39: RMSE=0.942246908681154, Params={'max_depth': 20, 'learning_rate': 0.16907407647947165, 'n_estimators': 932, 'min_child_weight': 6, 'subsample': 0.6628724773271304, 'colsample_bytree': 0.783944542774935, 'reg_alpha': 0.281248725915983, 'reg_lambda': 0.3547492199617104, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 40: RMSE=0.9439630854829937, Params={'max_depth': 15, 'learning_rate': 0.18870992350076857, 'n_estimators': 747, 'min_child_weight': 7, 'subsample': 0.8467692096108079, 'colsample_bytree': 0.8133941841812565, 'reg_alpha': 0.5501016924571311, 'reg_lambda': 0.521651147326356, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 41: RMSE=0.9204461648286659, Params={'max_depth': 4, 'learning_rate': 0.216971324950024, 'n_estimators': 828, 'min_child_weight': 9, 'subsample': 0.9321304483063306, 'colsample_bytree': 0.8354794780074085, 'reg_alpha': 0.33605150936313494, 'reg_lambda': 0.6125822711891263, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 42: RMSE=0.8944966115824726, Params={'max_depth': 9, 'learning_rate': 0.1627566894704215, 'n_estimators': 942, 'min_child_weight': 6, 'subsample': 0.8896386355187139, 'colsample_bytree': 0.9113205486865753, 'reg_alpha': 0.41736439248902574, 'reg_lambda': 0.48569745147101423, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 43: RMSE=0.884448842831989, Params={'max_depth': 7, 'learning_rate': 0.1849482506441943, 'n_estimators': 790, 'min_child_weight': 8, 'subsample': 0.9710977683625167, 'colsample_bytree': 0.8432810408127852, 'reg_alpha': 0.1914514984205584, 'reg_lambda': 0.42087732573212083, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 44: RMSE=0.8993101518595764, Params={'max_depth': 5, 'learning_rate': 0.13421867945370006, 'n_estimators': 728, 'min_child_weight': 7, 'subsample': 0.9511288959263665, 'colsample_bytree': 0.8008239759140205, 'reg_alpha': 0.3573365527806168, 'reg_lambda': 0.35210319498855347, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 45: RMSE=0.9036753014152988, Params={'max_depth': 8, 'learning_rate': 0.25261676649599124, 'n_estimators': 674, 'min_child_weight': 9, 'subsample': 0.9971056779503655, 'colsample_bytree': 0.7226992119379984, 'reg_alpha': 0.5327021276898437, 'reg_lambda': 0.20985715972649385, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 46: RMSE=0.874987683849427, Params={'max_depth': 3, 'learning_rate': 0.20287768113632576, 'n_estimators': 842, 'min_child_weight': 5, 'subsample': 0.9249260624681389, 'colsample_bytree': 0.755119049467178, 'reg_alpha': 0.060625454048526484, 'reg_lambda': 0.554903330216906, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 47: RMSE=0.8900763717753403, Params={'max_depth': 6, 'learning_rate': 0.15077126551059858, 'n_estimators': 885, 'min_child_weight': 7, 'subsample': 0.8215476893495323, 'colsample_bytree': 0.6886413849391684, 'reg_alpha': 0.30283446882881093, 'reg_lambda': 0.6055708852207818, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 48: RMSE=0.9223835958782808, Params={'max_depth': 18, 'learning_rate': 0.17569112548042298, 'n_estimators': 638, 'min_child_weight': 8, 'subsample': 0.8774883435725961, 'colsample_bytree': 0.8237631416887454, 'reg_alpha': 0.9822085686859224, 'reg_lambda': 0.705381619659887, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 49: RMSE=0.870052645232037, Params={'max_depth': 9, 'learning_rate': 0.22271102940177193, 'n_estimators': 963, 'min_child_weight': 6, 'subsample': 0.7743057124844697, 'colsample_bytree': 0.8589165277780354, 'reg_alpha': 0.6298594106712758, 'reg_lambda': 0.3753083064176324, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 50: RMSE=0.8435130857365375, Params={'max_depth': 4, 'learning_rate': 0.12911868911671412, 'n_estimators': 443, 'min_child_weight': 4, 'subsample': 0.9840691977187943, 'colsample_bytree': 0.9480805711653328, 'reg_alpha': 0.4343921084158652, 'reg_lambda': 0.5306472290833874, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 51: RMSE=0.9386825456405478, Params={'max_depth': 10, 'learning_rate': 0.15234175352286944, 'n_estimators': 913, 'min_child_weight': 6, 'subsample': 0.7621356936227518, 'colsample_bytree': 0.6694184067195765, 'reg_alpha': 0.07421915600991927, 'reg_lambda': 0.46839543288887225, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 52: RMSE=0.9374718497067743, Params={'max_depth': 8, 'learning_rate': 0.19526044095075018, 'n_estimators': 954, 'min_child_weight': 6, 'subsample': 0.7038579301763094, 'colsample_bytree': 0.5939535967850809, 'reg_alpha': 0.14687556834844534, 'reg_lambda': 0.5590214873397645, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 53: RMSE=0.9408027612354019, Params={'max_depth': 6, 'learning_rate': 0.16195219632724406, 'n_estimators': 899, 'min_child_weight': 7, 'subsample': 0.9018411740668262, 'colsample_bytree': 0.6363825062230296, 'reg_alpha': 0.08624202684555238, 'reg_lambda': 0.6666845568748618, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 54: RMSE=0.8969798286943031, Params={'max_depth': 7, 'learning_rate': 0.1080502787296339, 'n_estimators': 1000, 'min_child_weight': 6, 'subsample': 0.7266961802426345, 'colsample_bytree': 0.7463087515986966, 'reg_alpha': 0.21558703461815182, 'reg_lambda': 0.5750731336153703, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 55: RMSE=0.9559682638994832, Params={'max_depth': 11, 'learning_rate': 0.14914141519098648, 'n_estimators': 968, 'min_child_weight': 5, 'subsample': 0.6492376060221483, 'colsample_bytree': 0.6993897786292358, 'reg_alpha': 0.2522019493546037, 'reg_lambda': 0.6147112033447151, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 56: RMSE=0.9280197280832446, Params={'max_depth': 5, 'learning_rate': 0.17110755497780325, 'n_estimators': 160, 'min_child_weight': 8, 'subsample': 0.5138050349439358, 'colsample_bytree': 0.5683339356986439, 'reg_alpha': 0.5083205674171023, 'reg_lambda': 0.42000016684739777, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 57: RMSE=0.8969994860859823, Params={'max_depth': 6, 'learning_rate': 0.18598180084148025, 'n_estimators': 994, 'min_child_weight': 4, 'subsample': 0.8496790675641337, 'colsample_bytree': 0.9003356201831553, 'reg_alpha': 0.37767320690543577, 'reg_lambda': 0.32384886860675566, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 58: RMSE=0.8891325205292157, Params={'max_depth': 9, 'learning_rate': 0.21115046674260496, 'n_estimators': 573, 'min_child_weight': 6, 'subsample': 0.9782426749290147, 'colsample_bytree': 0.823294338152601, 'reg_alpha': 0.3126954782997507, 'reg_lambda': 0.2419688740468321, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 59: RMSE=0.8935354860965256, Params={'max_depth': 3, 'learning_rate': 0.15941295993369978, 'n_estimators': 693, 'min_child_weight': 5, 'subsample': 0.8040264122241008, 'colsample_bytree': 0.8715270624736319, 'reg_alpha': 0.6048758887986534, 'reg_lambda': 0.7478406876906311, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 60: RMSE=0.9490538479503101, Params={'max_depth': 13, 'learning_rate': 0.12037627702331531, 'n_estimators': 789, 'min_child_weight': 10, 'subsample': 0.5695480882614222, 'colsample_bytree': 0.7801193552383202, 'reg_alpha': 0.2706357068585173, 'reg_lambda': 0.013350848356972644, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 61: RMSE=0.861300302273804, Params={'max_depth': 4, 'learning_rate': 0.0734987215348701, 'n_estimators': 533, 'min_child_weight': 1, 'subsample': 0.9252991624783604, 'colsample_bytree': 0.8883290583053299, 'reg_alpha': 0.4890330487453414, 'reg_lambda': 0.9346670042320373, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 62: RMSE=0.9013808416942721, Params={'max_depth': 8, 'learning_rate': 0.14209899525133024, 'n_estimators': 482, 'min_child_weight': 2, 'subsample': 0.9143642956898359, 'colsample_bytree': 0.8055980054445202, 'reg_alpha': 0.4446433461605623, 'reg_lambda': 0.80043703110074, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 63: RMSE=0.8318167558817469, Params={'max_depth': 7, 'learning_rate': 0.13051549516322958, 'n_estimators': 608, 'min_child_weight': 3, 'subsample': 0.9506271538571452, 'colsample_bytree': 0.8345049807284379, 'reg_alpha': 0.34154982628765196, 'reg_lambda': 0.8488043748788506, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
