Trial 0: RMSE=29.023214919899818, Params={'max_depth': 13, 'learning_rate': 0.2262006812579645, 'n_estimators': 845, 'min_child_weight': 10, 'subsample': 0.8726272114868239, 'colsample_bytree': 0.5689440950918132, 'reg_alpha': 0.6975470844874233, 'reg_lambda': 0.4207889744295503, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 9: RMSE=0.8398814269171381, Params={'max_depth': 7, 'learning_rate': 0.23435403869404872, 'n_estimators': 998, 'min_child_weight': 8, 'subsample': 0.5960292722418198, 'colsample_bytree': 0.8312396840094454, 'reg_alpha': 0.5314369032904912, 'reg_lambda': 0.97220892744725, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 10: RMSE=0.8740649851812134, Params={'max_depth': 3, 'learning_rate': 0.015260220781635437, 'n_estimators': 128, 'min_child_weight': 5, 'subsample': 0.8628806115824899, 'colsample_bytree': 0.6902626873910387, 'reg_alpha': 0.9875445089966808, 'reg_lambda': 0.002554768429708587, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 11: RMSE=0.7916136059805144, Params={'max_depth': 11, 'learning_rate': 0.04974926890307314, 'n_estimators': 669, 'min_child_weight': 7, 'subsample': 0.9861208240381425, 'colsample_bytree': 0.6568984011263203, 'reg_alpha': 0.5911339885622191, 'reg_lambda': 0.3054792428081803, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 12: RMSE=0.7884960112392293, Params={'max_depth': 12, 'learning_rate': 0.013711931163375796, 'n_estimators': 690, 'min_child_weight': 1, 'subsample': 0.9865179289664819, 'colsample_bytree': 0.681924828827277, 'reg_alpha': 0.768944805508139, 'reg_lambda': 0.25159681837263326, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 13: RMSE=0.8015221105709357, Params={'max_depth': 14, 'learning_rate': 0.06339184602292136, 'n_estimators': 659, 'min_child_weight': 1, 'subsample': 0.8331777560607241, 'colsample_bytree': 0.7047755845819617, 'reg_alpha': 0.8696523272983762, 'reg_lambda': 0.16333801275834392, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 14: RMSE=0.7863135903280772, Params={'max_depth': 8, 'learning_rate': 0.015688423326681154, 'n_estimators': 620, 'min_child_weight': 1, 'subsample': 0.9856764402266157, 'colsample_bytree': 0.8041593136080554, 'reg_alpha': 0.706505501828615, 'reg_lambda': 0.5705365602719202, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 15: RMSE=0.7934612670793153, Params={'max_depth': 7, 'learning_rate': 0.07971311722859296, 'n_estimators': 582, 'min_child_weight': 3, 'subsample': 0.8690264071065881, 'colsample_bytree': 0.8414515910852948, 'reg_alpha': 0.6836716130729189, 'reg_lambda': 0.5046987581970586, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 16: RMSE=0.8175288537242408, Params={'max_depth': 4, 'learning_rate': 0.04204895247989289, 'n_estimators': 101, 'min_child_weight': 1, 'subsample': 0.9170042887765365, 'colsample_bytree': 0.9828381106591925, 'reg_alpha': 0.435722399889619, 'reg_lambda': 0.6222860219076807, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 17: RMSE=0.8070114659647278, Params={'max_depth': 9, 'learning_rate': 0.08939034016575542, 'n_estimators': 836, 'min_child_weight': 4, 'subsample': 0.7940970831614955, 'colsample_bytree': 0.8372424955336807, 'reg_alpha': 0.03267080781411513, 'reg_lambda': 0.7323964503757032, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 18: RMSE=0.8200385649676165, Params={'max_depth': 20, 'learning_rate': 0.010338105047531281, 'n_estimators': 538, 'min_child_weight': 2, 'subsample': 0.9918105158942149, 'colsample_bytree': 0.7613569238668595, 'reg_alpha': 0.19968939556678655, 'reg_lambda': 0.3818085176617659, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 19: RMSE=0.7812640145141503, Params={'max_depth': 8, 'learning_rate': 0.045585605135171535, 'n_estimators': 780, 'min_child_weight': 2, 'subsample': 0.9095074830269513, 'colsample_bytree': 0.8819020624447848, 'reg_alpha': 0.6177545389985638, 'reg_lambda': 0.4302616077643294, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 20: RMSE=0.810765621952287, Params={'max_depth': 5, 'learning_rate': 0.08478611810876474, 'n_estimators': 805, 'min_child_weight': 5, 'subsample': 0.8220056020748217, 'colsample_bytree': 0.8811191381968535, 'reg_alpha': 0.42609746189964487, 'reg_lambda': 0.41502628978361505, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 21: RMSE=0.7704595035346684, Params={'max_depth': 8, 'learning_rate': 0.03852689288012805, 'n_estimators': 751, 'min_child_weight': 2, 'subsample': 0.8995363032709888, 'colsample_bytree': 0.9978070129306411, 'reg_alpha': 0.6440344386591549, 'reg_lambda': 0.6549925506611434, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 22: RMSE=0.7871619584194582, Params={'max_depth': 8, 'learning_rate': 0.044017869546111935, 'n_estimators': 911, 'min_child_weight': 2, 'subsample': 0.895308814525956, 'colsample_bytree': 0.9926398010712375, 'reg_alpha': 0.5798435372290374, 'reg_lambda': 0.7724424886719559, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 23: RMSE=0.7923438581783615, Params={'max_depth': 9, 'learning_rate': 0.0601666187738793, 'n_estimators': 729, 'min_child_weight': 4, 'subsample': 0.952894793041212, 'colsample_bytree': 0.9379731981038719, 'reg_alpha': 0.8358046039371203, 'reg_lambda': 0.15190154814199192, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 24: RMSE=0.7995239276434828, Params={'max_depth': 13, 'learning_rate': 0.040453069779287025, 'n_estimators': 739, 'min_child_weight': 2, 'subsample': 0.8742796505122561, 'colsample_bytree': 0.8700041307074822, 'reg_alpha': 0.6406381652757116, 'reg_lambda': 0.6417697161624514, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 25: RMSE=0.8206066945331932, Params={'max_depth': 6, 'learning_rate': 0.1051775188967082, 'n_estimators': 910, 'min_child_weight': 3, 'subsample': 0.8199752711711854, 'colsample_bytree': 0.9304351471027884, 'reg_alpha': 0.46783244522793155, 'reg_lambda': 0.4464850399594029, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 26: RMSE=0.796701258083098, Params={'max_depth': 11, 'learning_rate': 0.07157021589995244, 'n_estimators': 540, 'min_child_weight': 4, 'subsample': 0.9385566485971879, 'colsample_bytree': 0.9950195885333476, 'reg_alpha': 0.8358522663222783, 'reg_lambda': 0.8102031556242605, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 27: RMSE=0.814006132841654, Params={'max_depth': 15, 'learning_rate': 0.029222375861094975, 'n_estimators': 890, 'min_child_weight': 2, 'subsample': 0.8775290194049077, 'colsample_bytree': 0.9674818928508117, 'reg_alpha': 0.6416615970488121, 'reg_lambda': 0.19577264590498247, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 28: RMSE=0.8177927701633976, Params={'max_depth': 9, 'learning_rate': 0.13583542679355537, 'n_estimators': 739, 'min_child_weight': 3, 'subsample': 0.9053878630120751, 'colsample_bytree': 0.9542057668639453, 'reg_alpha': 0.9516667775887795, 'reg_lambda': 0.5921074346350736, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 29: RMSE=0.8228915570720476, Params={'max_depth': 6, 'learning_rate': 0.18038853251644818, 'n_estimators': 190, 'min_child_weight': 5, 'subsample': 0.9617717742672166, 'colsample_bytree': 0.7853641005937537, 'reg_alpha': 0.7559025744196771, 'reg_lambda': 0.25354061471660483, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 30: RMSE=0.8261894352795259, Params={'max_depth': 5, 'learning_rate': 0.17974112262908581, 'n_estimators': 383, 'min_child_weight': 2, 'subsample': 0.7068407264629832, 'colsample_bytree': 0.8853173884946918, 'reg_alpha': 0.33404729122405047, 'reg_lambda': 0.6810974852994158, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 31: RMSE=0.7889293281186094, Params={'max_depth': 7, 'learning_rate': 0.03112858586306519, 'n_estimators': 784, 'min_child_weight': 1, 'subsample': 0.9688690307976247, 'colsample_bytree': 0.8046306838208016, 'reg_alpha': 0.7190517093468909, 'reg_lambda': 0.5586174238251855, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 32: RMSE=0.7923223811530349, Params={'max_depth': 8, 'learning_rate': 0.027191664325850365, 'n_estimators': 622, 'min_child_weight': 1, 'subsample': 0.9519596517843295, 'colsample_bytree': 0.8631688083470144, 'reg_alpha': 0.650728500847405, 'reg_lambda': 0.5306930696011454, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 33: RMSE=0.7924755610964462, Params={'max_depth': 10, 'learning_rate': 0.06054663087364432, 'n_estimators': 612, 'min_child_weight': 1, 'subsample': 0.9077812646703931, 'colsample_bytree': 0.9134210285878801, 'reg_alpha': 0.5940895353272122, 'reg_lambda': 0.4440397698976337, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 34: RMSE=0.7854207581481011, Params={'max_depth': 8, 'learning_rate': 0.09064299061000042, 'n_estimators': 521, 'min_child_weight': 3, 'subsample': 0.991184879384604, 'colsample_bytree': 0.7386046365366865, 'reg_alpha': 0.3929429058563988, 'reg_lambda': 0.36666967711882736, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 35: RMSE=0.7920982116539056, Params={'max_depth': 12, 'learning_rate': 0.0954939208421985, 'n_estimators': 213, 'min_child_weight': 3, 'subsample': 0.8402734494044316, 'colsample_bytree': 0.7370813776853621, 'reg_alpha': 0.38625004329408585, 'reg_lambda': 0.11329690340972925, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 36: RMSE=0.8246503043040839, Params={'max_depth': 5, 'learning_rate': 0.1326057477665336, 'n_estimators': 296, 'min_child_weight': 4, 'subsample': 0.5046684960412994, 'colsample_bytree': 0.6402680947342909, 'reg_alpha': 0.20274968307008562, 'reg_lambda': 0.37071007819667035, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 37: RMSE=0.7668402403526278, Params={'max_depth': 10, 'learning_rate': 0.05467380267000256, 'n_estimators': 400, 'min_child_weight': 9, 'subsample': 0.9301381143038457, 'colsample_bytree': 0.7196572183157696, 'reg_alpha': 0.14819790068774683, 'reg_lambda': 0.31632364838376537, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 38: RMSE=0.7862314240310039, Params={'max_depth': 10, 'learning_rate': 0.04714875624878478, 'n_estimators': 400, 'min_child_weight': 8, 'subsample': 0.9257346361811015, 'colsample_bytree': 0.9063682007210604, 'reg_alpha': 0.12946076927774544, 'reg_lambda': 0.22095619751105655, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 39: RMSE=0.8863315194421328, Params={'max_depth': 11, 'learning_rate': 0.2940646042647155, 'n_estimators': 319, 'min_child_weight': 10, 'subsample': 0.7790715548966236, 'colsample_bytree': 0.6252881132200245, 'reg_alpha': 0.1360753523090204, 'reg_lambda': 0.30006524135629337, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 40: RMSE=0.8108833531131755, Params={'max_depth': 13, 'learning_rate': 0.07241724812671332, 'n_estimators': 447, 'min_child_weight': 9, 'subsample': 0.742331003650561, 'colsample_bytree': 0.9524682561192337, 'reg_alpha': 0.03291038273234542, 'reg_lambda': 0.034696979368351755, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 41: RMSE=0.7644720728636191, Params={'max_depth': 9, 'learning_rate': 0.0552678861530191, 'n_estimators': 489, 'min_child_weight': 3, 'subsample': 0.934146800650829, 'colsample_bytree': 0.7289500440743799, 'reg_alpha': 0.2839324300323549, 'reg_lambda': 0.35355197199354693, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 42: RMSE=0.7784647827163581, Params={'max_depth': 9, 'learning_rate': 0.05439803926363903, 'n_estimators': 353, 'min_child_weight': 6, 'subsample': 0.8915177382612044, 'colsample_bytree': 0.7208385480179603, 'reg_alpha': 0.2955418446423482, 'reg_lambda': 0.46166936004784653, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 43: RMSE=0.7657981200729588, Params={'max_depth': 9, 'learning_rate': 0.057025391668196444, 'n_estimators': 347, 'min_child_weight': 6, 'subsample': 0.8844723004513703, 'colsample_bytree': 0.7165506850488915, 'reg_alpha': 0.2782172187261459, 'reg_lambda': 0.46314116226290586, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 44: RMSE=0.7858121536694191, Params={'max_depth': 9, 'learning_rate': 0.12064488320154937, 'n_estimators': 469, 'min_child_weight': 6, 'subsample': 0.8524313163557342, 'colsample_bytree': 0.7133683791471344, 'reg_alpha': 0.2811627313941848, 'reg_lambda': 0.4671729885441283, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 45: RMSE=0.7809356188422881, Params={'max_depth': 10, 'learning_rate': 0.05685068929117109, 'n_estimators': 339, 'min_child_weight': 7, 'subsample': 0.8886406578231869, 'colsample_bytree': 0.6681622901148159, 'reg_alpha': 0.27908266025925926, 'reg_lambda': 0.331500273057531, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 46: RMSE=0.8308785279091421, Params={'max_depth': 7, 'learning_rate': 0.20912467754485864, 'n_estimators': 409, 'min_child_weight': 6, 'subsample': 0.8000595293881384, 'colsample_bytree': 0.5960165493703224, 'reg_alpha': 0.17260052634498255, 'reg_lambda': 0.4956277902613404, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 47: RMSE=0.807632163466849, Params={'max_depth': 12, 'learning_rate': 0.1553691339183554, 'n_estimators': 497, 'min_child_weight': 8, 'subsample': 0.9394353947544358, 'colsample_bytree': 0.7160217420800769, 'reg_alpha': 0.32705113234514027, 'reg_lambda': 0.30213099115681175, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 48: RMSE=0.8050543887193462, Params={'max_depth': 11, 'learning_rate': 0.07214855121962593, 'n_estimators': 259, 'min_child_weight': 9, 'subsample': 0.8610282379810007, 'colsample_bytree': 0.7697300572907441, 'reg_alpha': 0.0742738901156354, 'reg_lambda': 0.8381645862358986, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 49: RMSE=0.8223131657288639, Params={'max_depth': 9, 'learning_rate': 0.10287112450092616, 'n_estimators': 352, 'min_child_weight': 6, 'subsample': 0.6018452676647159, 'colsample_bytree': 0.6901623230639458, 'reg_alpha': 0.2965236715903376, 'reg_lambda': 0.3986588760451431, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
